Position	Date	Time	Ch1_Value	Ch1_Unit	Ch2_Value	Ch2_unit			
29	3/27/2023	19:23:20	41.3	       %RH	0.4	  DEGREE C			
30	3/27/2023	19:28:20	40.5	       %RH	0.2	  DEGREE C			
31	3/27/2023	19:33:20	42.7	       %RH	0	  DEGREE C			
32	3/27/2023	19:38:20	42.3	       %RH	0	  DEGREE C			
33	3/27/2023	19:43:20	40.6	       %RH	0	  DEGREE C			
34	3/27/2023	19:48:20	41.9	       %RH	-0.1	  DEGREE C			
35	3/27/2023	19:53:20	41.1	       %RH	-0.2	  DEGREE C			
36	3/27/2023	19:58:20	41.6	       %RH	-0.4	  DEGREE C			
37	3/27/2023	20:03:20	42	       %RH	-0.5	  DEGREE C			
38	3/27/2023	20:08:20	41.5	       %RH	-0.9	  DEGREE C			
39	3/27/2023	20:13:20	44.6	       %RH	-1.1	  DEGREE C			
40	3/27/2023	20:18:20	43.3	       %RH	-1.1	  DEGREE C			
41	3/27/2023	20:23:20	40.7	       %RH	-1.3	  DEGREE C			
42	3/27/2023	20:28:20	40.9	       %RH	-1.4	  DEGREE C			
43	3/27/2023	20:33:20	41.3	       %RH	-1.7	  DEGREE C			
44	3/27/2023	20:38:20	38.9	       %RH	-1.8	  DEGREE C			
45	3/27/2023	20:43:20	41.6	       %RH	-2	  DEGREE C			
46	3/27/2023	20:48:20	39.2	       %RH	-2.1	  DEGREE C			
47	3/27/2023	20:53:20	38.3	       %RH	-2.3	  DEGREE C			
48	3/27/2023	20:58:20	40	       %RH	-2.5	  DEGREE C			
49	3/27/2023	21:03:20	42.6	       %RH	-2.7	  DEGREE C			
50	3/27/2023	21:08:20	48.5	       %RH	-2.8	  DEGREE C			
51	3/27/2023	21:13:20	50.4	       %RH	-3	  DEGREE C			
52	3/27/2023	21:18:20	54.2	       %RH	-3	  DEGREE C			
53	3/27/2023	21:23:20	55.9	       %RH	-3.2	  DEGREE C			
54	3/27/2023	21:28:20	56.8	       %RH	-3.3	  DEGREE C			
55	3/27/2023	21:33:20	58.7	       %RH	-3.3	  DEGREE C			
56	3/27/2023	21:38:20	60.1	       %RH	-3.5	  DEGREE C			
57	3/27/2023	21:43:20	60.1	       %RH	-3.6	  DEGREE C			
58	3/27/2023	21:48:20	60.6	       %RH	-3.6	  DEGREE C			
59	3/27/2023	21:53:20	61.5	       %RH	-3.8	  DEGREE C			
60	3/27/2023	21:58:20	62.3	       %RH	-3.8	  DEGREE C			
61	3/27/2023	22:03:20	62.8	       %RH	-4	  DEGREE C			
62	3/27/2023	22:08:20	62.3	       %RH	-4	  DEGREE C			
63	3/27/2023	22:13:20	62.7	       %RH	-4	  DEGREE C			
64	3/27/2023	22:18:20	67.2	       %RH	-4.1	  DEGREE C			
65	3/27/2023	22:23:20	67.9	       %RH	-4.3	  DEGREE C			
66	3/27/2023	22:28:20	68.3	       %RH	-4.3	  DEGREE C			
67	3/27/2023	22:33:20	69.2	       %RH	-4.5	  DEGREE C			
68	3/27/2023	22:38:20	68.9	       %RH	-4.1	  DEGREE C			
69	3/27/2023	22:43:20	67.7	       %RH	-4.1	  DEGREE C			
70	3/27/2023	22:48:20	66.4	       %RH	-4.3	  DEGREE C			
71	3/27/2023	22:53:20	69.6	       %RH	-4.5	  DEGREE C			
72	3/27/2023	22:58:20	70.2	       %RH	-4.5	  DEGREE C			
73	3/27/2023	23:03:20	68	       %RH	-4.5	  DEGREE C			
74	3/27/2023	23:08:20	67.4	       %RH	-4.6	  DEGREE C			
75	3/27/2023	23:13:20	66	       %RH	-4.5	  DEGREE C			
76	3/27/2023	23:18:20	65.7	       %RH	-4.5	  DEGREE C			
77	3/27/2023	23:23:20	63.9	       %RH	-4.5	  DEGREE C			
78	3/27/2023	23:28:20	65.5	       %RH	-4.7	  DEGREE C			
79	3/27/2023	23:33:20	65.9	       %RH	-4.9	  DEGREE C			
80	3/27/2023	23:38:20	66.9	       %RH	-5	  DEGREE C			
81	3/27/2023	23:43:20	67.3	       %RH	-5.1	  DEGREE C			
82	3/27/2023	23:48:20	66.3	       %RH	-5.1	  DEGREE C			
83	3/27/2023	23:53:20	67.4	       %RH	-5.2	  DEGREE C			
84	3/27/2023	23:58:20	66.7	       %RH	-5.2	  DEGREE C			
85	3/28/2023	0:03:20	68.5	       %RH	-5.2	  DEGREE C			
86	3/28/2023	0:08:20	70.3	       %RH	-5.3	  DEGREE C			
87	3/28/2023	0:13:20	69.3	       %RH	-5.4	  DEGREE C			
88	3/28/2023	0:18:20	70	       %RH	-5.6	  DEGREE C			
89	3/28/2023	0:23:20	70.7	       %RH	-5.6	  DEGREE C			
90	3/28/2023	0:28:20	72.5	       %RH	-5.4	  DEGREE C			
91	3/28/2023	0:33:20	71.3	       %RH	-5.6	  DEGREE C			
92	3/28/2023	0:38:20	69.9	       %RH	-5.7	  DEGREE C			
93	3/28/2023	0:43:20	70.2	       %RH	-5.6	  DEGREE C			
94	3/28/2023	0:48:20	70.9	       %RH	-5.7	  DEGREE C			
95	3/28/2023	0:53:20	71.9	       %RH	-5.7	  DEGREE C			
96	3/28/2023	0:58:20	74.6	       %RH	-5.6	  DEGREE C			
97	3/28/2023	1:03:20	75.7	       %RH	-5.8	  DEGREE C			
98	3/28/2023	1:08:20	74.7	       %RH	-5.9	  DEGREE C			
99	3/28/2023	1:13:20	74.7	       %RH	-5.9	  DEGREE C			
100	3/28/2023	1:18:20	72.4	       %RH	-6	  DEGREE C			
101	3/28/2023	1:23:20	70.2	       %RH	-6	  DEGREE C			
102	3/28/2023	1:28:20	73.2	       %RH	-5.9	  DEGREE C			
103	3/28/2023	1:33:20	71.6	       %RH	-5.9	  DEGREE C			
104	3/28/2023	1:38:20	71.3	       %RH	-5.8	  DEGREE C			
105	3/28/2023	1:43:20	70.9	       %RH	-5.6	  DEGREE C			
106	3/28/2023	1:48:20	70.2	       %RH	-5.4	  DEGREE C			
107	3/28/2023	1:53:20	70.1	       %RH	-5.3	  DEGREE C			
108	3/28/2023	1:58:20	71.5	       %RH	-5.2	  DEGREE C			
109	3/28/2023	2:03:20	75	       %RH	-5.1	  DEGREE C			
110	3/28/2023	2:08:20	76.4	       %RH	-5	  DEGREE C			
111	3/28/2023	2:13:20	76.4	       %RH	-5	  DEGREE C			
112	3/28/2023	2:18:20	76.4	       %RH	-5	  DEGREE C			
113	3/28/2023	2:23:20	76.8	       %RH	-4.9	  DEGREE C			
114	3/28/2023	2:28:20	74.4	       %RH	-4.9	  DEGREE C			
115	3/28/2023	2:33:20	74.2	       %RH	-4.9	  DEGREE C			
116	3/28/2023	2:38:20	74.2	       %RH	-4.9	  DEGREE C			
117	3/28/2023	2:43:20	74.9	       %RH	-4.8	  DEGREE C			
118	3/28/2023	2:48:20	75.7	       %RH	-4.8	  DEGREE C			
119	3/28/2023	2:53:20	76.4	       %RH	-4.9	  DEGREE C			
120	3/28/2023	2:58:20	76.4	       %RH	-4.8	  DEGREE C			
121	3/28/2023	3:03:20	75.7	       %RH	-4.8	  DEGREE C			
122	3/28/2023	3:08:20	75.7	       %RH	-4.8	  DEGREE C			
123	3/28/2023	3:13:20	75	       %RH	-4.6	  DEGREE C			
124	3/28/2023	3:18:20	75.3	       %RH	-4.7	  DEGREE C			
125	3/28/2023	3:23:20	75.7	       %RH	-4.6	  DEGREE C			
126	3/28/2023	3:28:20	75.8	       %RH	-4.9	  DEGREE C			
127	3/28/2023	3:33:20	75.6	       %RH	-5	  DEGREE C			
128	3/28/2023	3:38:20	74.9	       %RH	-4.9	  DEGREE C			
129	3/28/2023	3:43:20	73.8	       %RH	-4.7	  DEGREE C			
130	3/28/2023	3:48:20	74.1	       %RH	-4.6	  DEGREE C			
131	3/28/2023	3:53:20	73.1	       %RH	-4.5	  DEGREE C			
132	3/28/2023	3:58:20	72.6	       %RH	-4.5	  DEGREE C			
133	3/28/2023	4:03:20	72.3	       %RH	-4.5	  DEGREE C			
134	3/28/2023	4:08:20	72.7	       %RH	-4.4	  DEGREE C			
135	3/28/2023	4:13:20	74.4	       %RH	-4.4	  DEGREE C			
136	3/28/2023	4:18:20	74.8	       %RH	-4.2	  DEGREE C			
137	3/28/2023	4:23:20	72.4	       %RH	-4.1	  DEGREE C			
138	3/28/2023	4:28:20	73.4	       %RH	-3.9	  DEGREE C			
139	3/28/2023	4:33:20	69.7	       %RH	-3.8	  DEGREE C			
140	3/28/2023	4:38:20	70.1	       %RH	-3.8	  DEGREE C			
141	3/28/2023	4:43:20	68	       %RH	-3.8	  DEGREE C			
142	3/28/2023	4:48:20	68.9	       %RH	-3.8	  DEGREE C			
143	3/28/2023	4:53:20	68.8	       %RH	-4	  DEGREE C			
144	3/28/2023	4:58:20	68	       %RH	-4.1	  DEGREE C			
145	3/28/2023	5:03:20	66.8	       %RH	-4.3	  DEGREE C			
146	3/28/2023	5:08:20	66.8	       %RH	-4.4	  DEGREE C			
147	3/28/2023	5:13:20	67.7	       %RH	-4.5	  DEGREE C			
148	3/28/2023	5:18:20	66.8	       %RH	-4.6	  DEGREE C			
149	3/28/2023	5:23:20	67.2	       %RH	-4.6	  DEGREE C			
150	3/28/2023	5:28:20	67.9	       %RH	-4.8	  DEGREE C			
151	3/28/2023	5:33:20	68	       %RH	-4.7	  DEGREE C			
152	3/28/2023	5:38:20	70.2	       %RH	-5.1	  DEGREE C			
153	3/28/2023	5:43:20	70.2	       %RH	-5.2	  DEGREE C			
154	3/28/2023	5:48:20	70.9	       %RH	-5.3	  DEGREE C			
155	3/28/2023	5:53:20	72.4	       %RH	-5.3	  DEGREE C			
156	3/28/2023	5:58:20	72.5	       %RH	-5.3	  DEGREE C			
157	3/28/2023	6:03:20	71	       %RH	-5.2	  DEGREE C			
158	3/28/2023	6:08:20	74.7	       %RH	-5.3	  DEGREE C			
159	3/28/2023	6:13:20	73.4	       %RH	-5.3	  DEGREE C			
160	3/28/2023	6:18:20	72.2	       %RH	-5.3	  DEGREE C			
161	3/28/2023	6:23:20	73.4	       %RH	-5.3	  DEGREE C			
162	3/28/2023	6:28:20	71.4	       %RH	-5.1	  DEGREE C			
163	3/28/2023	6:33:20	70.7	       %RH	-5.1	  DEGREE C			
164	3/28/2023	6:38:20	71.1	       %RH	-4.9	  DEGREE C			
165	3/28/2023	6:43:20	70.3	       %RH	-5	  DEGREE C			
166	3/28/2023	6:48:20	70.6	       %RH	-4.8	  DEGREE C			
167	3/28/2023	6:53:20	68.4	       %RH	-4.6	  DEGREE C			
168	3/28/2023	6:58:20	66.4	       %RH	-4.4	  DEGREE C			
169	3/28/2023	7:03:20	66.4	       %RH	-4.2	  DEGREE C			
170	3/28/2023	7:08:20	65.6	       %RH	-4.1	  DEGREE C			
171	3/28/2023	7:13:20	64.1	       %RH	-3.8	  DEGREE C			
172	3/28/2023	7:18:20	63.6	       %RH	-3.5	  DEGREE C			
173	3/28/2023	7:23:20	63.3	       %RH	-3.1	  DEGREE C			
174	3/28/2023	7:28:20	58.9	       %RH	-2.5	  DEGREE C			
175	3/28/2023	7:33:20	60.4	       %RH	-2	  DEGREE C			
176	3/28/2023	7:38:20	58.6	       %RH	-1.6	  DEGREE C			
177	3/28/2023	7:43:20	56.2	       %RH	-1.1	  DEGREE C			
178	3/28/2023	7:48:20	54.1	       %RH	-0.6	  DEGREE C			
179	3/28/2023	7:53:20	51.2	       %RH	-0.1	  DEGREE C			
180	3/28/2023	7:58:20	49	       %RH	0.4	  DEGREE C			
181	3/28/2023	8:03:20	47.4	       %RH	0.5	  DEGREE C			
182	3/28/2023	8:08:20	44.6	       %RH	0.8	  DEGREE C			
183	3/28/2023	8:13:20	42	       %RH	1.4	  DEGREE C			
184	3/28/2023	8:18:20	40.7	       %RH	2.2	  DEGREE C			
185	3/28/2023	8:23:20	38.7	       %RH	2.6	  DEGREE C			
186	3/28/2023	8:28:20	36.4	       %RH	3	  DEGREE C			
187	3/28/2023	8:33:20	36.8	       %RH	3.4	  DEGREE C			
188	3/28/2023	8:38:20	36.6	       %RH	3.8	  DEGREE C			
189	3/28/2023	8:43:20	37.3	       %RH	3.7	  DEGREE C			
190	3/28/2023	8:48:20	37	       %RH	3.7	  DEGREE C			
191	3/28/2023	8:53:20	36.6	       %RH	3.8	  DEGREE C			
192	3/28/2023	8:58:20	35.6	       %RH	3.9	  DEGREE C			
193	3/28/2023	9:03:20	37.8	       %RH	3.7	  DEGREE C			
194	3/28/2023	9:08:20	34.5	       %RH	4.9	  DEGREE C			
195	3/28/2023	9:13:20	33.5	       %RH	4.5	  DEGREE C			
196	3/28/2023	9:18:20	31.2	       %RH	4.5	  DEGREE C			
197	3/28/2023	9:23:20	30.6	       %RH	5.1	  DEGREE C			
198	3/28/2023	9:28:20	31.3	       %RH	5	  DEGREE C			
199	3/28/2023	9:33:20	26.8	       %RH	6.7	  DEGREE C			
200	3/28/2023	9:38:20	30.2	       %RH	5.4	  DEGREE C			
201	3/28/2023	9:43:20	30.7	       %RH	6.5	  DEGREE C			
202	3/28/2023	9:48:20	27.2	       %RH	6.4	  DEGREE C			
203	3/28/2023	9:53:20	29.1	       %RH	5.8	  DEGREE C			
204	3/28/2023	9:58:20	28.1	       %RH	6.9	  DEGREE C			
205	3/28/2023	10:03:20	28	       %RH	6.8	  DEGREE C			
206	3/28/2023	10:08:20	30.4	       %RH	7.1	  DEGREE C			
207	3/28/2023	10:13:20	27.7	       %RH	5.7	  DEGREE C			
208	3/28/2023	10:18:20	29.2	       %RH	7.4	  DEGREE C			
209	3/28/2023	10:23:20	24.5	       %RH	7.9	  DEGREE C			
210	3/28/2023	10:28:20	25	       %RH	8.6	  DEGREE C			
211	3/28/2023	10:33:20	23.4	       %RH	8.3	  DEGREE C			
212	3/28/2023	10:38:20	23.4	       %RH	8.4	  DEGREE C			
213	3/28/2023	10:43:20	25.7	       %RH	7.9	  DEGREE C			
214	3/28/2023	10:48:20	29.3	       %RH	8	  DEGREE C			
215	3/28/2023	10:53:20	28.3	       %RH	8.2	  DEGREE C			
216	3/28/2023	10:58:20	26.7	       %RH	7.6	  DEGREE C			
217	3/28/2023	11:03:20	22.6	       %RH	8.5	  DEGREE C			
218	3/28/2023	11:08:20	22.2	       %RH	9.2	  DEGREE C			
219	3/28/2023	11:13:20	22.3	       %RH	9.7	  DEGREE C			
220	3/28/2023	11:18:20	23.9	       %RH	9.4	  DEGREE C			
221	3/28/2023	11:23:20	25.7	       %RH	9.1	  DEGREE C			
222	3/28/2023	11:28:20	24.6	       %RH	8.9	  DEGREE C			
223	3/28/2023	11:33:20	26.9	       %RH	9.5	  DEGREE C			
224	3/28/2023	11:38:20	24.7	       %RH	9.6	  DEGREE C			
225	3/28/2023	11:43:20	24.6	       %RH	9.4	  DEGREE C			
226	3/28/2023	11:48:20	24.9	       %RH	10.4	  DEGREE C			
227	3/28/2023	11:53:20	21	       %RH	10.6	  DEGREE C			
228	3/28/2023	11:58:20	23.6	       %RH	10.6	  DEGREE C			
229	3/28/2023	12:03:20	23.6	       %RH	10.9	  DEGREE C			
230	3/28/2023	12:08:20	23.6	       %RH	10.6	  DEGREE C			
231	3/28/2023	12:13:20	21.2	       %RH	9.8	  DEGREE C			
232	3/28/2023	12:18:20	22.3	       %RH	12.3	  DEGREE C			
233	3/28/2023	12:23:20	19.1	       %RH	13.2	  DEGREE C			
234	3/28/2023	12:28:20	22.5	       %RH	12.3	  DEGREE C			
235	3/28/2023	12:33:20	17.3	       %RH	18.1	  DEGREE C			
236	3/28/2023	12:38:20	12.1	       %RH	19.6	  DEGREE C			
237	3/28/2023	12:43:20	10.2	       %RH	22.6	  DEGREE C			
238	3/28/2023	12:48:20	13	       %RH	18.3	  DEGREE C			
239	3/28/2023	12:53:20	7.8	       %RH	27.8	  DEGREE C			
240	3/28/2023	12:58:20	11.4	       %RH	19.7	  DEGREE C			
241	3/28/2023	13:03:20	10.1	       %RH	24.4	  DEGREE C			
242	3/28/2023	13:08:20	10	       %RH	20.5	  DEGREE C			
243	3/28/2023	13:13:20	11.1	       %RH	21.9	  DEGREE C			
244	3/28/2023	13:18:20	12.1	       %RH	18.8	  DEGREE C			
245	3/28/2023	13:23:20	9.1	       %RH	25	  DEGREE C			
246	3/28/2023	13:28:20	6.9	       %RH	26.2	  DEGREE C			
247	3/28/2023	13:33:20	5.6	       %RH	29.2	  DEGREE C			
248	3/28/2023	13:38:20	6.9	       %RH	26	  DEGREE C			
249	3/28/2023	13:43:20	6.8	       %RH	22.1	  DEGREE C			
250	3/28/2023	13:48:20	8.8	       %RH	19.6	  DEGREE C			
251	3/28/2023	13:53:20	6.6	       %RH	20.5	  DEGREE C			
252	3/28/2023	13:58:20	8.8	       %RH	18.8	  DEGREE C			
253	3/28/2023	14:03:20	8.8	       %RH	16.9	  DEGREE C			
254	3/28/2023	14:08:20	10	       %RH	16.8	  DEGREE C			
255	3/28/2023	14:13:20	9.8	       %RH	18.2	  DEGREE C			
256	3/28/2023	14:18:20	8.9	       %RH	20	  DEGREE C			
257	3/28/2023	14:23:20	9	       %RH	20.6	  DEGREE C			
258	3/28/2023	14:28:20	6.8	       %RH	22.7	  DEGREE C			
259	3/28/2023	14:33:20	7.3	       %RH	23.7	  DEGREE C			
260	3/28/2023	14:38:20	9.1	       %RH	22	  DEGREE C			
261	3/28/2023	14:43:20	9.9	       %RH	18	  DEGREE C			
262	3/28/2023	14:48:20	10.6	       %RH	18.7	  DEGREE C			
263	3/28/2023	14:53:20	9.6	       %RH	18.2	  DEGREE C			
264	3/28/2023	14:58:20	8	       %RH	20.2	  DEGREE C			
265	3/28/2023	15:03:20	8.8	       %RH	22.9	  DEGREE C			
266	3/28/2023	15:08:20	5.9	       %RH	29.2	  DEGREE C			
267	3/28/2023	15:13:20	6.8	       %RH	26.7	  DEGREE C			
268	3/28/2023	15:18:20	8.9	       %RH	20.4	  DEGREE C			
269	3/28/2023	15:23:20	8.5	       %RH	21.5	  DEGREE C			
270	3/28/2023	15:28:20	10	       %RH	20.5	  DEGREE C			
271	3/28/2023	15:33:20	9.4	       %RH	22.1	  DEGREE C			
272	3/28/2023	15:38:20	7.9	       %RH	25.4	  DEGREE C			
273	3/28/2023	15:43:20	9	       %RH	22.2	  DEGREE C			
274	3/28/2023	15:48:20	11	       %RH	19.6	  DEGREE C			
275	3/28/2023	15:53:20	12.3	       %RH	15.8	  DEGREE C			
276	3/28/2023	15:58:20	11.9	       %RH	16.9	  DEGREE C			
277	3/28/2023	16:03:20	12.6	       %RH	16.9	  DEGREE C			
278	3/28/2023	16:08:20	11.1	       %RH	17.6	  DEGREE C			
279	3/28/2023	16:13:20	12	       %RH	16.5	  DEGREE C			
280	3/28/2023	16:18:20	13	       %RH	16.9	  DEGREE C			
281	3/28/2023	16:23:20	12.7	       %RH	14.9	  DEGREE C			
282	3/28/2023	16:28:20	12.9	       %RH	15.6	  DEGREE C			
283	3/28/2023	16:33:20	10	       %RH	19.9	  DEGREE C			
284	3/28/2023	16:38:20	9.5	       %RH	17.5	  DEGREE C			
285	3/28/2023	16:43:20	7.9	       %RH	22.6	  DEGREE C			
286	3/28/2023	16:48:20	7	       %RH	24.2	  DEGREE C			
287	3/28/2023	16:53:20	8.9	       %RH	19.9	  DEGREE C			
288	3/28/2023	16:58:20	9	       %RH	21.6	  DEGREE C			
289	3/28/2023	17:03:20	10	       %RH	19.8	  DEGREE C			
290	3/28/2023	17:08:20	11	       %RH	18.1	  DEGREE C			
291	3/28/2023	17:13:20	12.6	       %RH	16	  DEGREE C			
292	3/28/2023	17:18:20	14	       %RH	15.8	  DEGREE C			
293	3/28/2023	17:23:20	12.1	       %RH	16.3	  DEGREE C			
294	3/28/2023	17:28:20	13	       %RH	15.4	  DEGREE C			
295	3/28/2023	17:33:20	13.6	       %RH	15.4	  DEGREE C			
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
