Position	Date	Time	Ch1_Value	Ch1_Unit	Ch2_Value	Ch2_unit		
41	3/27/2023	20:17:16	34.1	       %RH	19.8	  DEGREE C		
42	3/27/2023	20:22:16	32.9	       %RH	19.7	  DEGREE C		
43	3/27/2023	20:27:16	33.5	       %RH	19.6	  DEGREE C		
44	3/27/2023	20:32:16	33.5	       %RH	19.5	  DEGREE C		
45	3/27/2023	20:37:16	33.5	       %RH	19.4	  DEGREE C		
46	3/27/2023	20:42:16	31.9	       %RH	19.9	  DEGREE C		
47	3/27/2023	20:47:16	32.9	       %RH	19.6	  DEGREE C		
48	3/27/2023	20:52:16	32.9	       %RH	19.4	  DEGREE C		
49	3/27/2023	20:57:16	33	       %RH	19.3	  DEGREE C		
50	3/27/2023	21:02:16	32.9	       %RH	19.3	  DEGREE C		
51	3/27/2023	21:07:16	32.6	       %RH	19.4	  DEGREE C		
52	3/27/2023	21:12:16	32.9	       %RH	19.2	  DEGREE C		
53	3/27/2023	21:17:16	32.9	       %RH	19.1	  DEGREE C		
54	3/27/2023	21:22:16	33.4	       %RH	19.1	  DEGREE C		
55	3/27/2023	21:27:16	34	       %RH	18.9	  DEGREE C		
56	3/27/2023	21:32:16	34	       %RH	18.9	  DEGREE C		
57	3/27/2023	21:37:16	34	       %RH	18.8	  DEGREE C		
58	3/27/2023	21:42:16	33.9	       %RH	18.7	  DEGREE C		
59	3/27/2023	21:47:16	34.3	       %RH	18.6	  DEGREE C		
60	3/27/2023	21:52:16	34.5	       %RH	18.5	  DEGREE C		
61	3/27/2023	21:57:16	34.7	       %RH	18.4	  DEGREE C		
62	3/27/2023	22:02:16	35	       %RH	18.4	  DEGREE C		
63	3/27/2023	22:07:16	35	       %RH	18.3	  DEGREE C		
64	3/27/2023	22:12:16	35	       %RH	18.3	  DEGREE C		
65	3/27/2023	22:17:16	35	       %RH	18.2	  DEGREE C		
66	3/27/2023	22:22:16	35	       %RH	18.1	  DEGREE C		
67	3/27/2023	22:27:16	35	       %RH	18	  DEGREE C		
68	3/27/2023	22:32:16	35.1	       %RH	18	  DEGREE C		
69	3/27/2023	22:37:16	35.5	       %RH	17.9	  DEGREE C		
70	3/27/2023	22:42:16	35.5	       %RH	17.8	  DEGREE C		
71	3/27/2023	22:47:16	35.9	       %RH	17.8	  DEGREE C		
72	3/27/2023	22:52:16	35.9	       %RH	17.7	  DEGREE C		
73	3/27/2023	22:57:16	36	       %RH	17.6	  DEGREE C		
74	3/27/2023	23:02:16	36	       %RH	17.5	  DEGREE C		
75	3/27/2023	23:07:16	36	       %RH	17.4	  DEGREE C		
76	3/27/2023	23:12:16	36	       %RH	17.4	  DEGREE C		
77	3/27/2023	23:17:16	36	       %RH	17.3	  DEGREE C		
78	3/27/2023	23:22:16	36	       %RH	17.3	  DEGREE C		
79	3/27/2023	23:27:16	36	       %RH	17.2	  DEGREE C		
80	3/27/2023	23:32:16	36.4	       %RH	17.1	  DEGREE C		
81	3/27/2023	23:37:16	36.4	       %RH	17.1	  DEGREE C		
82	3/27/2023	23:42:16	36.5	       %RH	17.1	  DEGREE C		
83	3/27/2023	23:47:16	36.5	       %RH	17	  DEGREE C		
84	3/27/2023	23:52:16	36.5	       %RH	16.9	  DEGREE C		
85	3/27/2023	23:57:16	36.6	       %RH	16.9	  DEGREE C		
86	3/28/2023	0:02:16	36.5	       %RH	16.8	  DEGREE C		
87	3/28/2023	0:07:16	36.9	       %RH	16.7	  DEGREE C		
88	3/28/2023	0:12:16	37	       %RH	16.6	  DEGREE C		
89	3/28/2023	0:17:16	37	       %RH	16.6	  DEGREE C		
90	3/28/2023	0:22:16	37	       %RH	16.6	  DEGREE C		
91	3/28/2023	0:27:16	37	       %RH	16.5	  DEGREE C		
92	3/28/2023	0:32:16	37	       %RH	16.4	  DEGREE C		
93	3/28/2023	0:37:16	37	       %RH	16.4	  DEGREE C		
94	3/28/2023	0:42:16	37	       %RH	16.3	  DEGREE C		
95	3/28/2023	0:47:16	36.9	       %RH	16.3	  DEGREE C		
96	3/28/2023	0:52:16	36.9	       %RH	16.3	  DEGREE C		
97	3/28/2023	0:57:16	36.9	       %RH	16.2	  DEGREE C		
98	3/28/2023	1:02:16	36.9	       %RH	16.2	  DEGREE C		
99	3/28/2023	1:07:16	36.9	       %RH	16.1	  DEGREE C		
100	3/28/2023	1:12:16	36.9	       %RH	16.1	  DEGREE C		
101	3/28/2023	1:17:16	36.9	       %RH	16	  DEGREE C		
102	3/28/2023	1:22:16	36.9	       %RH	15.9	  DEGREE C		
103	3/28/2023	1:27:16	36.9	       %RH	15.9	  DEGREE C		
104	3/28/2023	1:32:16	36.9	       %RH	15.8	  DEGREE C		
105	3/28/2023	1:37:16	36.9	       %RH	15.8	  DEGREE C		
106	3/28/2023	1:42:16	36.9	       %RH	15.7	  DEGREE C		
107	3/28/2023	1:47:16	36.9	       %RH	15.6	  DEGREE C		
108	3/28/2023	1:52:16	36.9	       %RH	15.6	  DEGREE C		
109	3/28/2023	1:57:16	36.6	       %RH	15.5	  DEGREE C		
110	3/28/2023	2:02:16	36.3	       %RH	15.4	  DEGREE C		
111	3/28/2023	2:07:16	36.5	       %RH	15.4	  DEGREE C		
112	3/28/2023	2:12:16	36.3	       %RH	15.4	  DEGREE C		
113	3/28/2023	2:17:16	36.3	       %RH	15.3	  DEGREE C		
114	3/28/2023	2:22:16	36.3	       %RH	15.3	  DEGREE C		
115	3/28/2023	2:27:16	36.3	       %RH	15.2	  DEGREE C		
116	3/28/2023	2:32:16	36.3	       %RH	15.2	  DEGREE C		
117	3/28/2023	2:37:16	36.3	       %RH	15.1	  DEGREE C		
118	3/28/2023	2:42:16	36.3	       %RH	15.1	  DEGREE C		
119	3/28/2023	2:47:16	36.3	       %RH	15.1	  DEGREE C		
120	3/28/2023	2:52:16	36.3	       %RH	15	  DEGREE C		
121	3/28/2023	2:57:16	36.3	       %RH	14.9	  DEGREE C		
122	3/28/2023	3:02:16	36.3	       %RH	14.9	  DEGREE C		
123	3/28/2023	3:07:16	36.3	       %RH	14.9	  DEGREE C		
124	3/28/2023	3:12:16	36.3	       %RH	14.8	  DEGREE C		
125	3/28/2023	3:17:16	36.3	       %RH	14.7	  DEGREE C		
126	3/28/2023	3:22:16	36.3	       %RH	14.7	  DEGREE C		
127	3/28/2023	3:27:16	36.1	       %RH	14.6	  DEGREE C		
128	3/28/2023	3:32:16	36.2	       %RH	14.6	  DEGREE C		
129	3/28/2023	3:37:16	36.2	       %RH	14.6	  DEGREE C		
130	3/28/2023	3:42:16	36.2	       %RH	14.5	  DEGREE C		
131	3/28/2023	3:47:16	36.2	       %RH	14.5	  DEGREE C		
132	3/28/2023	3:52:16	36.2	       %RH	14.4	  DEGREE C		
133	3/28/2023	3:57:16	36.6	       %RH	14.5	  DEGREE C		
134	3/28/2023	4:02:16	34.7	       %RH	15.2	  DEGREE C		
135	3/28/2023	4:07:16	33.7	       %RH	15.7	  DEGREE C		
136	3/28/2023	4:12:16	32.6	       %RH	16.1	  DEGREE C		
137	3/28/2023	4:17:16	31.6	       %RH	16.7	  DEGREE C		
138	3/28/2023	4:22:16	30.6	       %RH	17.2	  DEGREE C		
139	3/28/2023	4:27:16	30.4	       %RH	17.8	  DEGREE C		
140	3/28/2023	4:32:16	29.7	       %RH	18.1	  DEGREE C		
141	3/28/2023	4:37:16	29.7	       %RH	18.4	  DEGREE C		
142	3/28/2023	4:42:16	29.2	       %RH	18.8	  DEGREE C		
143	3/28/2023	4:47:16	29.2	       %RH	18.9	  DEGREE C		
144	3/28/2023	4:52:16	30.2	       %RH	18.4	  DEGREE C		
145	3/28/2023	4:57:16	30.7	       %RH	18.2	  DEGREE C		
146	3/28/2023	5:02:16	30.6	       %RH	18.6	  DEGREE C		
147	3/28/2023	5:07:16	29.8	       %RH	19.1	  DEGREE C		
148	3/28/2023	5:12:16	30.3	       %RH	18.9	  DEGREE C		
149	3/28/2023	5:17:16	31.7	       %RH	18.4	  DEGREE C		
150	3/28/2023	5:22:16	32.4	       %RH	18.5	  DEGREE C		
151	3/28/2023	5:27:16	32.3	       %RH	18.7	  DEGREE C		
152	3/28/2023	5:32:16	31.3	       %RH	19.3	  DEGREE C		
153	3/28/2023	5:37:16	32.3	       %RH	19	  DEGREE C		
154	3/28/2023	5:42:16	32.8	       %RH	18.6	  DEGREE C		
155	3/28/2023	5:47:16	33.1	       %RH	18.3	  DEGREE C		
156	3/28/2023	5:52:16	32.8	       %RH	18.4	  DEGREE C		
157	3/28/2023	5:57:16	32.2	       %RH	18.7	  DEGREE C		
158	3/28/2023	6:02:16	31.8	       %RH	19	  DEGREE C		
159	3/28/2023	6:07:16	32.3	       %RH	18.6	  DEGREE C		
160	3/28/2023	6:12:16	32.8	       %RH	18.3	  DEGREE C		
161	3/28/2023	6:17:16	32.3	       %RH	18.4	  DEGREE C		
162	3/28/2023	6:22:16	31.8	       %RH	18.8	  DEGREE C		
163	3/28/2023	6:27:16	31.8	       %RH	18.8	  DEGREE C		
164	3/28/2023	6:32:16	31.7	       %RH	18.5	  DEGREE C		
165	3/28/2023	6:37:16	31.7	       %RH	18.4	  DEGREE C		
166	3/28/2023	6:42:16	31.8	       %RH	18.6	  DEGREE C		
167	3/28/2023	6:47:16	31.1	       %RH	18.9	  DEGREE C		
168	3/28/2023	6:52:16	31.5	       %RH	18.7	  DEGREE C		
169	3/28/2023	6:57:16	31.7	       %RH	18.5	  DEGREE C		
170	3/28/2023	7:02:16	31.8	       %RH	18.6	  DEGREE C		
171	3/28/2023	7:07:16	30.8	       %RH	18.9	  DEGREE C		
172	3/28/2023	7:12:16	31.1	       %RH	18.8	  DEGREE C		
173	3/28/2023	7:17:16	31.4	       %RH	18.7	  DEGREE C		
174	3/28/2023	7:22:16	30.8	       %RH	18.9	  DEGREE C		
175	3/28/2023	7:27:16	30.8	       %RH	19.4	  DEGREE C		
176	3/28/2023	7:32:16	30.8	       %RH	19.5	  DEGREE C		
177	3/28/2023	7:37:16	31.3	       %RH	19.4	  DEGREE C		
178	3/28/2023	7:42:16	31.3	       %RH	19.4	  DEGREE C		
179	3/28/2023	7:47:16	30.8	       %RH	19.8	  DEGREE C		
180	3/28/2023	7:52:16	30.9	       %RH	20	  DEGREE C		
181	3/28/2023	7:57:16	31.2	       %RH	19.7	  DEGREE C		
182	3/28/2023	8:02:16	31.2	       %RH	19.6	  DEGREE C		
183	3/28/2023	8:07:16	30.8	       %RH	19.9	  DEGREE C		
184	3/28/2023	8:12:16	29.9	       %RH	20.3	  DEGREE C		
185	3/28/2023	8:17:16	30.2	       %RH	20.1	  DEGREE C		
186	3/28/2023	8:22:16	30.9	       %RH	20	  DEGREE C		
187	3/28/2023	8:27:16	29.8	       %RH	20	  DEGREE C		
188	3/28/2023	8:32:16	29.4	       %RH	20.4	  DEGREE C		
189	3/28/2023	8:37:16	29.4	       %RH	20.5	  DEGREE C		
190	3/28/2023	8:42:16	29.9	       %RH	20.3	  DEGREE C		
191	3/28/2023	8:47:16	29.9	       %RH	20.2	  DEGREE C		
192	3/28/2023	8:52:16	28.8	       %RH	20.5	  DEGREE C		
193	3/28/2023	8:57:16	28.5	       %RH	20.9	  DEGREE C		
194	3/28/2023	9:02:16	28.9	       %RH	20.7	  DEGREE C		
195	3/28/2023	9:07:16	28.9	       %RH	20.6	  DEGREE C		
196	3/28/2023	9:12:16	28.9	       %RH	20.7	  DEGREE C		
197	3/28/2023	9:17:16	27.8	       %RH	21	  DEGREE C		
198	3/28/2023	9:22:16	28.2	       %RH	21	  DEGREE C		
199	3/28/2023	9:27:16	28.7	       %RH	20.9	  DEGREE C		
200	3/28/2023	9:32:16	28.9	       %RH	20.7	  DEGREE C		
201	3/28/2023	9:37:16	27.8	       %RH	20.8	  DEGREE C		
202	3/28/2023	9:42:16	27.9	       %RH	21.1	  DEGREE C		
203	3/28/2023	9:47:16	27.8	       %RH	21	  DEGREE C		
204	3/28/2023	9:52:16	28.2	       %RH	20.9	  DEGREE C		
205	3/28/2023	9:57:16	28.7	       %RH	20.8	  DEGREE C		
206	3/28/2023	10:02:16	27.8	       %RH	21.1	  DEGREE C		
207	3/28/2023	10:07:16	27.9	       %RH	21.3	  DEGREE C		
208	3/28/2023	10:12:16	27.9	       %RH	21.1	  DEGREE C		
209	3/28/2023	10:17:16	28.4	       %RH	21	  DEGREE C		
210	3/28/2023	10:22:16	28.4	       %RH	20.9	  DEGREE C		
211	3/28/2023	10:27:16	27.9	       %RH	21.1	  DEGREE C		
212	3/28/2023	10:32:16	27.9	       %RH	21.3	  DEGREE C		
213	3/28/2023	10:37:16	28.2	       %RH	21.1	  DEGREE C		
214	3/28/2023	10:42:16	28.9	       %RH	21.1	  DEGREE C		
215	3/28/2023	10:47:16	29.4	       %RH	20.9	  DEGREE C		
216	3/28/2023	10:52:16	28.9	       %RH	21.1	  DEGREE C		
217	3/28/2023	10:57:16	28.5	       %RH	21.4	  DEGREE C		
218	3/28/2023	11:02:16	28.9	       %RH	21.3	  DEGREE C		
219	3/28/2023	11:07:16	28.9	       %RH	21.3	  DEGREE C		
220	3/28/2023	11:12:16	28.9	       %RH	21.2	  DEGREE C		
221	3/28/2023	11:17:16	28.9	       %RH	21.1	  DEGREE C		
222	3/28/2023	11:22:16	28.9	       %RH	21.1	  DEGREE C		
223	3/28/2023	11:27:16	28.3	       %RH	21.3	  DEGREE C		
224	3/28/2023	11:32:16	27.9	       %RH	21.5	  DEGREE C		
225	3/28/2023	11:37:16	28.4	       %RH	21.4	  DEGREE C		
226	3/28/2023	11:42:16	28.8	       %RH	21.4	  DEGREE C		
227	3/28/2023	11:47:16	28.9	       %RH	21.3	  DEGREE C		
228	3/28/2023	11:52:16	28.9	       %RH	21.3	  DEGREE C		
229	3/28/2023	11:57:16	28.9	       %RH	21.3	  DEGREE C		
230	3/28/2023	12:02:16	28.4	       %RH	21.3	  DEGREE C		
231	3/28/2023	12:07:16	27.9	       %RH	21.6	  DEGREE C		
232	3/28/2023	12:12:16	27.9	       %RH	21.5	  DEGREE C		
233	3/28/2023	12:17:16	27.9	       %RH	21.5	  DEGREE C		
234	3/28/2023	12:22:16	28.3	       %RH	21.5	  DEGREE C		
235	3/28/2023	12:27:16	28.4	       %RH	21.5	  DEGREE C		
236	3/28/2023	12:32:16	28.4	       %RH	21.5	  DEGREE C		
237	3/28/2023	12:37:16	28.7	       %RH	21.5	  DEGREE C		
238	3/28/2023	12:42:16	27.9	       %RH	21.6	  DEGREE C		
239	3/28/2023	12:47:16	27.7	       %RH	21.9	  DEGREE C		
240	3/28/2023	12:52:16	27.9	       %RH	21.9	  DEGREE C		
241	3/28/2023	12:57:16	27.9	       %RH	21.9	  DEGREE C		
242	3/28/2023	13:02:16	27.9	       %RH	21.9	  DEGREE C		
243	3/28/2023	13:07:16	27.9	       %RH	21.9	  DEGREE C		
244	3/28/2023	13:12:16	27.9	       %RH	21.9	  DEGREE C		
245	3/28/2023	13:17:16	27.9	       %RH	21.9	  DEGREE C		
246	3/28/2023	13:22:16	27.9	       %RH	22	  DEGREE C		
247	3/28/2023	13:27:16	28.2	       %RH	22	  DEGREE C		
248	3/28/2023	13:32:16	28.2	       %RH	22	  DEGREE C		
249	3/28/2023	13:37:16	28.3	       %RH	22.1	  DEGREE C		
250	3/28/2023	13:42:16	27.9	       %RH	22.1	  DEGREE C		
251	3/28/2023	13:47:16	27.4	       %RH	22.3	  DEGREE C		
252	3/28/2023	13:52:16	27.7	       %RH	22.4	  DEGREE C		
253	3/28/2023	13:57:16	27.9	       %RH	22.4	  DEGREE C		
254	3/28/2023	14:02:16	27.9	       %RH	22.4	  DEGREE C		
255	3/28/2023	14:07:16	27.9	       %RH	22.3	  DEGREE C		
256	3/28/2023	14:12:16	27.9	       %RH	22.3	  DEGREE C		
257	3/28/2023	14:17:16	27.9	       %RH	22.3	  DEGREE C		
258	3/28/2023	14:22:16	27.9	       %RH	22.3	  DEGREE C		
259	3/28/2023	14:27:16	28.6	       %RH	22.3	  DEGREE C		
260	3/28/2023	14:32:16	28.5	       %RH	22.3	  DEGREE C		
261	3/28/2023	14:37:16	28.1	       %RH	22.3	  DEGREE C		
262	3/28/2023	14:42:16	27.9	       %RH	22.2	  DEGREE C		
263	3/28/2023	14:47:16	27.4	       %RH	22.2	  DEGREE C		
264	3/28/2023	14:52:16	26.9	       %RH	22.4	  DEGREE C		
265	3/28/2023	14:57:16	27.4	       %RH	22.5	  DEGREE C		
266	3/28/2023	15:02:16	27.7	       %RH	22.5	  DEGREE C		
267	3/28/2023	15:07:16	27.7	       %RH	22.4	  DEGREE C		
268	3/28/2023	15:12:16	27.7	       %RH	22.4	  DEGREE C		
269	3/28/2023	15:17:16	27.8	       %RH	22.4	  DEGREE C		
270	3/28/2023	15:22:16	27.9	       %RH	22.3	  DEGREE C		
271	3/28/2023	15:27:16	27.9	       %RH	22.3	  DEGREE C		
272	3/28/2023	15:32:16	27.9	       %RH	22.3	  DEGREE C		
273	3/28/2023	15:37:16	27.9	       %RH	22.3	  DEGREE C		
274	3/28/2023	15:42:16	27.9	       %RH	22.3	  DEGREE C		
275	3/28/2023	15:47:16	27.9	       %RH	22.3	  DEGREE C		
276	3/28/2023	15:52:16	27.9	       %RH	22.2	  DEGREE C		
277	3/28/2023	15:57:16	27.9	       %RH	22.2	  DEGREE C		
278	3/28/2023	16:02:16	27.9	       %RH	22.1	  DEGREE C		
279	3/28/2023	16:07:16	27.9	       %RH	22.1	  DEGREE C		
280	3/28/2023	16:12:16	27.9	       %RH	22.1	  DEGREE C		
281	3/28/2023	16:17:16	27.9	       %RH	22.1	  DEGREE C		
282	3/28/2023	16:22:16	28.2	       %RH	22.1	  DEGREE C		
283	3/28/2023	16:27:16	27.9	       %RH	22.1	  DEGREE C		
284	3/28/2023	16:32:16	27.9	       %RH	22.3	  DEGREE C		
285	3/28/2023	16:37:16	27.9	       %RH	22.3	  DEGREE C		
286	3/28/2023	16:42:16	27.9	       %RH	22.3	  DEGREE C		
287	3/28/2023	16:47:16	27.9	       %RH	22.3	  DEGREE C		
288	3/28/2023	16:52:16	27.9	       %RH	22.3	  DEGREE C		
289	3/28/2023	16:57:16	27.9	       %RH	22.3	  DEGREE C		
290	3/28/2023	17:02:16	27.9	       %RH	22.3	  DEGREE C		
291	3/28/2023	17:07:16	29	       %RH	22.3	  DEGREE C		
292	3/28/2023	17:12:16	29	       %RH	22.3	  DEGREE C		
293	3/28/2023	17:17:16	29.9	       %RH	22.3	  DEGREE C		
294	3/28/2023	17:22:16	29	       %RH	22.2	  DEGREE C		
295	3/28/2023	17:27:16	29	       %RH	22.1	  DEGREE C		
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
