H04_V2_Out	Date	Time	Ch1_Value	Ch1_Unit	Ch2_Value	Ch2_unit
46	1/25/2023	20:25:31	87.9	       %RH	-3.4	  DEGREE C
47	1/25/2023	20:30:31	88.5	       %RH	-3.5	  DEGREE C
48	1/25/2023	20:35:31	89.1	       %RH	-3.5	  DEGREE C
49	1/25/2023	20:40:31	89	       %RH	-3.6	  DEGREE C
50	1/25/2023	20:45:31	89.1	       %RH	-3.6	  DEGREE C
51	1/25/2023	20:50:31	89.4	       %RH	-3.6	  DEGREE C
52	1/25/2023	20:55:31	89.7	       %RH	-3.6	  DEGREE C
53	1/25/2023	21:00:31	89.7	       %RH	-3.5	  DEGREE C
54	1/25/2023	21:05:31	89.7	       %RH	-3.5	  DEGREE C
55	1/25/2023	21:10:31	89.5	       %RH	-3.6	  DEGREE C
56	1/25/2023	21:15:31	89.7	       %RH	-3.7	  DEGREE C
57	1/25/2023	21:20:31	89.6	       %RH	-3.8	  DEGREE C
58	1/25/2023	21:25:31	89.9	       %RH	-3.9	  DEGREE C
59	1/25/2023	21:30:31	90	       %RH	-3.7	  DEGREE C
60	1/25/2023	21:35:31	89.6	       %RH	-3.8	  DEGREE C
61	1/25/2023	21:40:31	89.6	       %RH	-3.9	  DEGREE C
62	1/25/2023	21:45:31	89.6	       %RH	-3.9	  DEGREE C
63	1/25/2023	21:50:31	89.6	       %RH	-3.8	  DEGREE C
64	1/25/2023	21:55:31	89.6	       %RH	-3.9	  DEGREE C
65	1/25/2023	22:00:31	90.1	       %RH	-3.8	  DEGREE C
66	1/25/2023	22:05:31	89.9	       %RH	-3.7	  DEGREE C
67	1/25/2023	22:10:31	89.7	       %RH	-3.7	  DEGREE C
68	1/25/2023	22:15:31	89.7	       %RH	-3.7	  DEGREE C
69	1/25/2023	22:20:31	89.7	       %RH	-3.7	  DEGREE C
70	1/25/2023	22:25:31	89.6	       %RH	-4	  DEGREE C
71	1/25/2023	22:30:31	89.9	       %RH	-4.1	  DEGREE C
72	1/25/2023	22:35:31	90.2	       %RH	-4	  DEGREE C
73	1/25/2023	22:40:31	90.2	       %RH	-3.9	  DEGREE C
74	1/25/2023	22:45:31	90.2	       %RH	-3.9	  DEGREE C
75	1/25/2023	22:50:31	90.2	       %RH	-3.8	  DEGREE C
76	1/25/2023	22:55:31	90.2	       %RH	-3.8	  DEGREE C
77	1/25/2023	23:00:31	90.2	       %RH	-3.9	  DEGREE C
78	1/25/2023	23:05:31	90.2	       %RH	-3.9	  DEGREE C
79	1/25/2023	23:10:31	90.6	       %RH	-3.9	  DEGREE C
80	1/25/2023	23:15:31	90.8	       %RH	-3.9	  DEGREE C
81	1/25/2023	23:20:31	90.8	       %RH	-3.8	  DEGREE C
82	1/25/2023	23:25:31	90.8	       %RH	-3.7	  DEGREE C
83	1/25/2023	23:30:31	90.8	       %RH	-3.6	  DEGREE C
84	1/25/2023	23:35:31	90.5	       %RH	-3.7	  DEGREE C
85	1/25/2023	23:40:31	90.7	       %RH	-3.7	  DEGREE C
86	1/25/2023	23:45:31	90.8	       %RH	-3.7	  DEGREE C
87	1/25/2023	23:50:31	90.8	       %RH	-3.6	  DEGREE C
88	1/25/2023	23:55:31	90.8	       %RH	-3.6	  DEGREE C
89	1/26/2023	0:00:31	90.8	       %RH	-3.6	  DEGREE C
90	1/26/2023	0:05:31	91	       %RH	-3.6	  DEGREE C
91	1/26/2023	0:10:31	91	       %RH	-3.6	  DEGREE C
92	1/26/2023	0:15:31	91.1	       %RH	-3.6	  DEGREE C
93	1/26/2023	0:20:31	90.8	       %RH	-3.6	  DEGREE C
94	1/26/2023	0:25:31	90.8	       %RH	-3.7	  DEGREE C
95	1/26/2023	0:30:31	90.8	       %RH	-3.9	  DEGREE C
96	1/26/2023	0:35:31	91	       %RH	-4.2	  DEGREE C
97	1/26/2023	0:40:31	91.1	       %RH	-4.6	  DEGREE C
98	1/26/2023	0:45:31	91.1	       %RH	-4.8	  DEGREE C
99	1/26/2023	0:50:31	91	       %RH	-5.2	  DEGREE C
100	1/26/2023	0:55:31	91	       %RH	-5	  DEGREE C
101	1/26/2023	1:00:31	91.2	       %RH	-5	  DEGREE C
102	1/26/2023	1:05:31	91.6	       %RH	-5.1	  DEGREE C
103	1/26/2023	1:10:31	91.6	       %RH	-4.9	  DEGREE C
104	1/26/2023	1:15:31	91.6	       %RH	-4.9	  DEGREE C
105	1/26/2023	1:20:31	91.6	       %RH	-4.9	  DEGREE C
106	1/26/2023	1:25:31	91.6	       %RH	-4.8	  DEGREE C
107	1/26/2023	1:30:31	91.7	       %RH	-4.5	  DEGREE C
108	1/26/2023	1:35:31	91.7	       %RH	-4.5	  DEGREE C
109	1/26/2023	1:40:31	91.7	       %RH	-4.6	  DEGREE C
110	1/26/2023	1:45:31	91.7	       %RH	-4.5	  DEGREE C
111	1/26/2023	1:50:31	91.8	       %RH	-4.3	  DEGREE C
112	1/26/2023	1:55:31	91.8	       %RH	-4.3	  DEGREE C
113	1/26/2023	2:00:31	91.6	       %RH	-4.3	  DEGREE C
114	1/26/2023	2:05:31	91.8	       %RH	-4.1	  DEGREE C
115	1/26/2023	2:10:31	91.8	       %RH	-3.9	  DEGREE C
116	1/26/2023	2:15:31	91.9	       %RH	-3.9	  DEGREE C
117	1/26/2023	2:20:31	91.6	       %RH	-3.9	  DEGREE C
118	1/26/2023	2:25:31	91.3	       %RH	-4	  DEGREE C
119	1/26/2023	2:30:31	90.6	       %RH	-4.3	  DEGREE C
120	1/26/2023	2:35:31	90.5	       %RH	-4.7	  DEGREE C
121	1/26/2023	2:40:31	90.4	       %RH	-5.1	  DEGREE C
122	1/26/2023	2:45:31	90.9	       %RH	-5.5	  DEGREE C
123	1/26/2023	2:50:31	90.8	       %RH	-5.8	  DEGREE C
124	1/26/2023	2:55:31	91.2	       %RH	-5.7	  DEGREE C
125	1/26/2023	3:00:31	90.8	       %RH	-6	  DEGREE C
126	1/26/2023	3:05:31	91.1	       %RH	-5.8	  DEGREE C
127	1/26/2023	3:10:31	91.5	       %RH	-5.5	  DEGREE C
128	1/26/2023	3:15:31	91.5	       %RH	-5.2	  DEGREE C
129	1/26/2023	3:20:31	91.3	       %RH	-5	  DEGREE C
130	1/26/2023	3:25:31	91.1	       %RH	-4.7	  DEGREE C
131	1/26/2023	3:30:31	91.1	       %RH	-4.7	  DEGREE C
132	1/26/2023	3:35:31	91.1	       %RH	-4.6	  DEGREE C
133	1/26/2023	3:40:31	91.1	       %RH	-4.6	  DEGREE C
134	1/26/2023	3:45:31	91.2	       %RH	-4.4	  DEGREE C
135	1/26/2023	3:50:31	90.6	       %RH	-4.3	  DEGREE C
136	1/26/2023	3:55:31	90.7	       %RH	-4.3	  DEGREE C
137	1/26/2023	4:00:31	90.7	       %RH	-4.3	  DEGREE C
138	1/26/2023	4:05:31	90.7	       %RH	-4.2	  DEGREE C
139	1/26/2023	4:10:31	90.7	       %RH	-4.2	  DEGREE C
140	1/26/2023	4:15:31	90.7	       %RH	-4.2	  DEGREE C
141	1/26/2023	4:20:31	90.4	       %RH	-4.3	  DEGREE C
142	1/26/2023	4:25:31	90.3	       %RH	-4.6	  DEGREE C
143	1/26/2023	4:30:31	90.5	       %RH	-4.9	  DEGREE C
144	1/26/2023	4:35:31	90.4	       %RH	-5.2	  DEGREE C
145	1/26/2023	4:40:31	90.4	       %RH	-5.2	  DEGREE C
146	1/26/2023	4:45:31	90.7	       %RH	-5.2	  DEGREE C
147	1/26/2023	4:50:31	90.6	       %RH	-5.2	  DEGREE C
148	1/26/2023	4:55:31	90.7	       %RH	-5.2	  DEGREE C
149	1/26/2023	5:00:31	90.6	       %RH	-5.2	  DEGREE C
150	1/26/2023	5:05:31	90.7	       %RH	-5.4	  DEGREE C
151	1/26/2023	5:10:31	90.9	       %RH	-5.7	  DEGREE C
152	1/26/2023	5:15:31	90.9	       %RH	-6	  DEGREE C
153	1/26/2023	5:20:31	90.9	       %RH	-6.5	  DEGREE C
154	1/26/2023	5:25:31	90.5	       %RH	-7	  DEGREE C
155	1/26/2023	5:30:31	90.5	       %RH	-7.3	  DEGREE C
156	1/26/2023	5:35:31	90.4	       %RH	-7.7	  DEGREE C
157	1/26/2023	5:40:31	90.9	       %RH	-7.8	  DEGREE C
158	1/26/2023	5:45:31	90.2	       %RH	-8.2	  DEGREE C
159	1/26/2023	5:50:31	90.2	       %RH	-8.3	  DEGREE C
160	1/26/2023	5:55:31	90	       %RH	-9	  DEGREE C
161	1/26/2023	6:00:31	90.7	       %RH	-8.6	  DEGREE C
162	1/26/2023	6:05:31	90.6	       %RH	-8.7	  DEGREE C
163	1/26/2023	6:10:31	90	       %RH	-9.1	  DEGREE C
164	1/26/2023	6:15:31	90.4	       %RH	-9	  DEGREE C
165	1/26/2023	6:20:31	89.9	       %RH	-9.4	  DEGREE C
166	1/26/2023	6:25:31	89.9	       %RH	-9.4	  DEGREE C
167	1/26/2023	6:30:31	90	       %RH	-9.2	  DEGREE C
168	1/26/2023	6:35:31	90.1	       %RH	-8.8	  DEGREE C
169	1/26/2023	6:40:31	90	       %RH	-9.1	  DEGREE C
170	1/26/2023	6:45:31	90.1	       %RH	-8.6	  DEGREE C
171	1/26/2023	6:50:31	90.2	       %RH	-8.3	  DEGREE C
172	1/26/2023	6:55:31	89.7	       %RH	-9	  DEGREE C
173	1/26/2023	7:00:31	89.7	       %RH	-9.1	  DEGREE C
174	1/26/2023	7:05:31	90	       %RH	-9.1	  DEGREE C
175	1/26/2023	7:10:31	89.9	       %RH	-9.1	  DEGREE C
176	1/26/2023	7:15:31	89.5	       %RH	-9.1	  DEGREE C
177	1/26/2023	7:20:31	89.5	       %RH	-9	  DEGREE C
178	1/26/2023	7:25:31	89.2	       %RH	-9.4	  DEGREE C
179	1/26/2023	7:30:31	89.4	       %RH	-9.3	  DEGREE C
180	1/26/2023	7:35:31	90.1	       %RH	-8.7	  DEGREE C
181	1/26/2023	7:40:31	90.1	       %RH	-8.5	  DEGREE C
182	1/26/2023	7:45:31	90.8	       %RH	-8.1	  DEGREE C
183	1/26/2023	7:50:31	90.4	       %RH	-8.1	  DEGREE C
184	1/26/2023	7:55:31	90.3	       %RH	-8	  DEGREE C
185	1/26/2023	8:00:31	90.2	       %RH	-8.3	  DEGREE C
186	1/26/2023	8:05:31	90.2	       %RH	-8.1	  DEGREE C
187	1/26/2023	8:10:31	90.3	       %RH	-7.8	  DEGREE C
188	1/26/2023	8:15:31	90.4	       %RH	-7.6	  DEGREE C
189	1/26/2023	8:20:31	89.8	       %RH	-7.9	  DEGREE C
190	1/26/2023	8:25:31	89.9	       %RH	-7.2	  DEGREE C
191	1/26/2023	8:30:31	90	       %RH	-7.1	  DEGREE C
192	1/26/2023	8:35:31	89.5	       %RH	-6.8	  DEGREE C
193	1/26/2023	8:40:31	89.4	       %RH	-7	  DEGREE C
194	1/26/2023	8:45:31	89.2	       %RH	-6.7	  DEGREE C
195	1/26/2023	8:50:31	88.9	       %RH	-6.8	  DEGREE C
196	1/26/2023	8:55:31	88.9	       %RH	-6.7	  DEGREE C
197	1/26/2023	9:00:31	89	       %RH	-6.4	  DEGREE C
198	1/26/2023	9:05:31	88.4	       %RH	-6.3	  DEGREE C
199	1/26/2023	9:10:31	88.5	       %RH	-6.2	  DEGREE C
200	1/26/2023	9:15:31	88.2	       %RH	-6.1	  DEGREE C
201	1/26/2023	9:20:31	87.9	       %RH	-6	  DEGREE C
202	1/26/2023	9:25:31	87.9	       %RH	-5.9	  DEGREE C
203	1/26/2023	9:30:31	87.9	       %RH	-5.7	  DEGREE C
204	1/26/2023	9:35:31	87.3	       %RH	-5.7	  DEGREE C
205	1/26/2023	9:40:31	86.3	       %RH	-5.6	  DEGREE C
206	1/26/2023	9:45:31	86	       %RH	-5.6	  DEGREE C
207	1/26/2023	9:50:31	85.4	       %RH	-5.5	  DEGREE C
208	1/26/2023	9:55:31	84.4	       %RH	-5.5	  DEGREE C
209	1/26/2023	10:00:31	83.7	       %RH	-5.4	  DEGREE C
210	1/26/2023	10:05:31	83.4	       %RH	-5.2	  DEGREE C
211	1/26/2023	10:10:31	82.2	       %RH	-5.2	  DEGREE C
212	1/26/2023	10:15:31	82.2	       %RH	-4.9	  DEGREE C
213	1/26/2023	10:20:31	80.1	       %RH	-4.7	  DEGREE C
214	1/26/2023	10:25:31	80.3	       %RH	-4.4	  DEGREE C
215	1/26/2023	10:30:31	80.3	       %RH	-4	  DEGREE C
216	1/26/2023	10:35:31	79.2	       %RH	-3.8	  DEGREE C
217	1/26/2023	10:40:31	78.4	       %RH	-3.5	  DEGREE C
218	1/26/2023	10:45:31	78	       %RH	-3.2	  DEGREE C
219	1/26/2023	10:50:31	77.7	       %RH	-3.1	  DEGREE C
220	1/26/2023	10:55:31	77	       %RH	-2.9	  DEGREE C
221	1/26/2023	11:00:31	77.7	       %RH	-2.7	  DEGREE C
222	1/26/2023	11:05:31	76.5	       %RH	-2.7	  DEGREE C
223	1/26/2023	11:10:31	77.7	       %RH	-2.7	  DEGREE C
224	1/26/2023	11:15:31	77.7	       %RH	-2.6	  DEGREE C
225	1/26/2023	11:20:31	78.5	       %RH	-2.4	  DEGREE C
226	1/26/2023	11:25:31	78.5	       %RH	-2.4	  DEGREE C
227	1/26/2023	11:30:31	78.5	       %RH	-2.3	  DEGREE C
228	1/26/2023	11:35:31	78.5	       %RH	-2.1	  DEGREE C
229	1/26/2023	11:40:31	78.5	       %RH	-2	  DEGREE C
230	1/26/2023	11:45:31	77.3	       %RH	-1.9	  DEGREE C
231	1/26/2023	11:50:31	76.6	       %RH	-1.8	  DEGREE C
232	1/26/2023	11:55:31	77.2	       %RH	-1.6	  DEGREE C
233	1/26/2023	12:00:31	75.7	       %RH	-1.5	  DEGREE C
234	1/26/2023	12:05:31	76.1	       %RH	-1.5	  DEGREE C
235	1/26/2023	12:10:31	75.7	       %RH	-1.5	  DEGREE C
236	1/26/2023	12:15:31	75.3	       %RH	-1.6	  DEGREE C
237	1/26/2023	12:20:31	74.7	       %RH	-1.4	  DEGREE C
238	1/26/2023	12:25:31	75	       %RH	-1.2	  DEGREE C
239	1/26/2023	12:30:31	75.2	       %RH	-1.3	  DEGREE C
240	1/26/2023	12:35:31	73.9	       %RH	-1.3	  DEGREE C
241	1/26/2023	12:40:31	73.9	       %RH	-1.2	  DEGREE C
242	1/26/2023	12:45:31	72.8	       %RH	-1.1	  DEGREE C
243	1/26/2023	12:50:31	72.8	       %RH	-1.1	  DEGREE C
244	1/26/2023	12:55:31	71.9	       %RH	-0.7	  DEGREE C
245	1/26/2023	13:00:31	71.2	       %RH	-0.6	  DEGREE C
246	1/26/2023	13:05:31	71.3	       %RH	-0.7	  DEGREE C
247	1/26/2023	13:10:31	72	       %RH	-1.1	  DEGREE C
248	1/26/2023	13:15:31	72	       %RH	-0.7	  DEGREE C
249	1/26/2023	13:20:31	71.7	       %RH	-1	  DEGREE C
250	1/26/2023	13:25:31	71.5	       %RH	-1	  DEGREE C
251	1/26/2023	13:30:31	71.2	       %RH	-0.6	  DEGREE C
252	1/26/2023	13:35:31	70.2	       %RH	-0.5	  DEGREE C
253	1/26/2023	13:40:31	69.3	       %RH	-0.3	  DEGREE C
254	1/26/2023	13:45:31	69.2	       %RH	-0.6	  DEGREE C
255	1/26/2023	13:50:31	69.1	       %RH	-0.3	  DEGREE C
256	1/26/2023	13:55:31	68.9	       %RH	-0.2	  DEGREE C
257	1/26/2023	14:00:31	67.7	       %RH	0	  DEGREE C
258	1/26/2023	14:05:31	67.1	       %RH	0.2	  DEGREE C
259	1/26/2023	14:10:31	68.1	       %RH	-0.1	  DEGREE C
260	1/26/2023	14:15:31	67.2	       %RH	0.1	  DEGREE C
261	1/26/2023	14:20:31	65.7	       %RH	0.2	  DEGREE C
262	1/26/2023	14:25:31	66.7	       %RH	0.1	  DEGREE C
263	1/26/2023	14:30:31	65.7	       %RH	0.2	  DEGREE C
264	1/26/2023	14:35:31	66.4	       %RH	0.2	  DEGREE C
265	1/26/2023	14:40:31	67.6	       %RH	-0.3	  DEGREE C
266	1/26/2023	14:45:31	68	       %RH	-0.2	  DEGREE C
267	1/26/2023	14:50:31	68	       %RH	-0.2	  DEGREE C
268	1/26/2023	14:55:31	67.3	       %RH	0	  DEGREE C
269	1/26/2023	15:00:31	58	       %RH	2	  DEGREE C
270	1/26/2023	15:05:31	59.7	       %RH	1.1	  DEGREE C
271	1/26/2023	15:10:31	58.2	       %RH	2.8	  DEGREE C
272	1/26/2023	15:15:31	55.5	       %RH	2.7	  DEGREE C
273	1/26/2023	15:20:31	58.8	       %RH	1.9	  DEGREE C
274	1/26/2023	15:25:31	60.4	       %RH	1.1	  DEGREE C
275	1/26/2023	15:30:31	62.8	       %RH	0.7	  DEGREE C
276	1/26/2023	15:35:31	66.8	       %RH	-0.4	  DEGREE C
277	1/26/2023	15:40:31	67.2	       %RH	-0.5	  DEGREE C
278	1/26/2023	15:45:31	68.3	       %RH	-0.9	  DEGREE C
279	1/26/2023	15:50:31	69.1	       %RH	-1.1	  DEGREE C
280	1/26/2023	15:55:31	69.9	       %RH	-1.1	  DEGREE C
281	1/26/2023	16:00:31	70.3	       %RH	-1.3	  DEGREE C
282	1/26/2023	16:05:31	70.3	       %RH	-1.3	  DEGREE C
283	1/26/2023	16:10:31	71.3	       %RH	-1.5	  DEGREE C
284	1/26/2023	16:15:31	71.8	       %RH	-1.5	  DEGREE C
285	1/26/2023	16:20:31	67.6	       %RH	-0.6	  DEGREE C
